Macrophages_Genes
MARCO
CXCL5
SCG5
SULT1C2
MSR1
CTSK
PTGDS
COLEC12
GPC4
PCOLCE2
CHIT1
KAL1
CLEC5A
ME1
DNASE2B
CCL7
FN1
CD163
GM2A
SCARB2
BCAT1
RAI14
COL8A2
APOE
CHI3L1
ATG7
CD84
FDX1
MS4A4A
SGMS1
EMP1
CYBB
CD68
