Tfh_Genes
CHI3L2
CXCL13
MYO7A
CHGB
ICA1
HEY1
CDK5R1
ST8SIA1
PDCD1
BLR1
KIAA1324
PVALB
TSHR
C18orf1
TOX
SLC7A10
SMAD1
POMT1
PASK
MKL2
PTPN13
KCNK5
ZNF764
MAF
MYO6
SIRPG
THADA
MAGEH1
B3GAT1
SH3TC1
HIST1H4K
STK39
