Cytotoxic_Genes
KLRD1
KLRF1
GNLY
CTSW
KLRB1
KLRK1
NKG7
GZMH
SIGIRR
ZBTB16
RUNX3
APOL3
RORA
APBA2
WHDC1L1
DUSP2
GZMA
