Th2_Genes
PMCH
AHI1
PTGIS
CXCR6
EVI5
IL26
MB
NEIL3
GSTA4
PHEX
SMAD2
CENPF
ANK1
ADCY1
AI582773
LAIR2
SNRPD1
MICAL2
DHFR
WDHD1
BIRC5
SLC39A14
HELLS
LIMA1
CDC25C
CDC7
GATA3
