CD8_Genes
CD8B
CD8A
PF4
PRR5
SF1
LIME1
DNAJB1
BNIP2
GZMM
SLC16A7
SFRS7
APBA2
C4orf15
LEPROTL1
ZFP36L2
GADD45A
MYST3
ZEB1
ZNF609
MAPKAPK5
THUMPD1
VAMP2
ZNF91
ZNF22
TMC6
FLT3LG
CDKN2AIP
TSC22D3
TBCC
RBM3
ABT1
C19orf6
CAMLG
PPP1R2
AES
KLF9
PRF1
