NKCD56dim_geneset
KIR3DL2
SPON2
KIR2DL3
GZMB
KIR3DS1
KIR3DL1
FLJ20699
TMEPAI
IL21R
KIR3DL3
KIR2DS5
KIR2DS2
GTF3C1
KIR2DS1
EDG8
